LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1709872547.532044,975454.000,28696,2,AZ,1,100,0.927
1709872547.572044,975494.000,28696,2,AZ,1,100,0.930
1709872547.612045,975534.000,28714,3,AZ,1,100,0.929
1709872547.652045,975574.000,28714,3,AZ,1,100,0.925
1709872547.692046,975614.000,28714,3,AZ,1,100,0.929
1709872547.732046,975654.000,28731,2,AZ,1,100,0.932
1709872547.772047,975694.000,28731,2,AZ,1,100,0.929
1709872547.812047,975734.000,28750,3,AZ,1,100,0.931
1709872547.852047,975774.000,28750,3,AZ,1,100,0.930
1709872547.892048,975814.000,28750,3,AZ,1,100,0.935
1709872547.932048,975854.000,28766,2,AZ,1,100,0.930
1709872547.972049,975894.000,28766,2,AZ,1,100,0.925
1709872548.012049,975934.000,28781,3,AZ,1,100,0.933
1709872548.052050,975974.000,28781,3,AZ,1,100,0.933
1709872548.092050,976014.000,28781,3,AZ,1,100,0.931
1709872548.132051,976054.000,28798,2,AZ,1,100,0.931
1709872548.172051,976094.000,28798,2,AZ,1,100,0.928
1709872548.212052,976134.000,28817,3,AZ,1,100,0.932
1709872548.252052,976174.000,28817,3,AZ,1,100,0.930
1709872548.292053,976214.000,28817,3,AZ,1,100,0.930
1709872548.332053,976254.000,28834,3,AZ,1,100,0.931
1709872548.372053,976294.000,28834,3,AZ,1,100,0.935
1709872548.412054,976334.000,28834,3,AZ,1,100,0.930
1709872548.452054,976374.000,28848,2,AZ,1,100,0.934
1709872548.492055,976414.000,28848,2,AZ,1,100,0.931
1709872548.532055,976454.000,28868,3,AZ,1,100,0.926
1709872548.572056,976494.000,28868,3,AZ,1,100,0.926
1709872548.612056,976534.000,28868,3,AZ,1,100,0.925
1709872548.652056,976574.000,28884,2,AZ,1,100,0.928
1709872548.692057,976614.000,28884,2,AZ,1,100,0.928
1709872548.727724,976649.667,28901,3,AZ,1,100,0.932
1709872548.763391,976685.333,28901,3,AZ,1,100,0.930
1709872548.799058,976721.000,28901,3,AZ,1,100,0.930
1709872548.839059,976761.000,28916,3,AZ,1,100,0.928
1709872548.879059,976801.000,28916,3,AZ,1,100,0.928
1709872548.919060,976841.000,28916,3,AZ,1,100,0.931
1709872548.959060,976881.000,28935,2,AZ,1,100,0.925
1709872548.999061,976921.000,28935,2,AZ,1,100,0.930
1709872549.039061,976961.000,28957,4,AZ,1,100,0.931
1709872549.079062,977001.000,28957,4,AZ,1,100,0.927
1709872549.119062,977041.000,28957,4,AZ,1,100,0.928
1709872549.159062,977081.000,28957,4,AZ,1,100,0.929
1709872549.199063,977121.000,28976,3,AZ,1,100,0.929
1709872549.239063,977161.000,28976,3,AZ,1,100,0.930
1709872549.279064,977201.000,28976,3,AZ,1,100,0.928
1709872549.319064,977241.000,28993,2,AZ,1,100,0.926
