LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1706146413.529191,1528138.000,55968,2,AX,1,100,0.170
1706146413.569191,1528178.000,55987,3,AX,1,100,0.169
1706146413.609191,1528218.000,55987,3,AX,1,100,0.168
1706146413.649191,1528258.000,55987,3,AX,1,100,0.169
1706146413.689191,1528298.000,56004,2,AX,1,100,0.170
1706146413.729191,1528338.000,56004,2,AX,1,100,0.166
1706146413.769191,1528378.000,56020,3,AX,1,100,0.169
1706146413.809191,1528418.000,56020,3,AX,1,100,0.165
1706146413.849191,1528458.000,56020,3,AX,1,100,0.166
1706146413.889191,1528498.000,56035,2,AX,1,100,0.173
1706146413.929191,1528538.000,56035,2,AX,1,100,0.166
1706146413.969191,1528578.000,56052,3,AX,1,100,0.171
1706146414.009191,1528618.000,56052,3,AX,1,100,0.166
1706146414.049191,1528658.000,56052,3,AX,1,100,0.167
1706146414.089191,1528698.000,56069,2,AX,1,100,0.155
1706146414.129191,1528738.000,56069,2,AX,1,100,0.167
1706146414.169191,1528778.000,56087,3,AX,1,100,0.171
1706146414.209191,1528818.000,56087,3,AX,1,100,0.172
1706146414.249191,1528858.000,56087,3,AX,1,100,0.175
1706146414.289191,1528898.000,56103,2,AX,1,100,0.160
1706146414.329191,1528938.000,56103,2,AX,1,100,0.168
1706146414.369191,1528978.000,56121,3,AX,1,100,0.169
1706146414.409191,1529018.000,56121,3,AX,1,100,0.160
1706146414.449191,1529058.000,56121,3,AX,1,100,0.170
1706146414.489191,1529098.000,56138,3,AX,1,100,0.167
1706146414.529191,1529138.000,56138,3,AX,1,100,0.167
1706146414.569191,1529178.000,56138,3,AX,1,100,0.164
1706146414.604857,1529213.667,56157,3,AX,1,100,0.172
1706146414.640524,1529249.333,56157,3,AX,1,100,0.170
1706146414.676191,1529285.000,56157,3,AX,1,100,0.167
1706146414.716191,1529325.000,56173,2,AX,1,100,0.165
1706146414.756191,1529365.000,56173,2,AX,1,100,0.163
1706146414.796191,1529405.000,56188,3,AX,1,100,0.166
1706146414.836191,1529445.000,56188,3,AX,1,100,0.167
1706146414.876191,1529485.000,56188,3,AX,1,100,0.168
1706146414.916191,1529525.000,56205,2,AX,1,100,0.164
1706146414.956191,1529565.000,56205,2,AX,1,100,0.167
1706146414.996191,1529605.000,56224,3,AX,1,100,0.164
1706146415.036191,1529645.000,56224,3,AX,1,100,0.168
1706146415.076191,1529685.000,56224,3,AX,1,100,0.166
1706146415.116191,1529725.000,56240,2,AX,1,100,0.169
1706146415.156191,1529765.000,56240,2,AX,1,100,0.159
1706146415.196191,1529805.000,56255,3,AX,1,100,0.165
1706146415.236191,1529845.000,56255,3,AX,1,100,0.166
1706146415.276191,1529885.000,56255,3,AX,1,100,0.169
1706146415.316190,1529925.000,56273,2,AX,1,100,0.164
1706146415.356191,1529965.000,56273,2,AX,1,100,0.160
1706146415.396191,1530005.000,56289,3,AX,1,100,0.164
1706146415.436191,1530045.000,56289,3,AX,1,100,0.168
