LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1709251388.122016,1316668.000,23147,2,MZ,1,100,30
1709251388.162015,1316708.000,23147,2,MZ,1,100,31
1709251388.202014,1316748.000,23164,3,MZ,1,100,29
1709251388.242012,1316788.000,23164,3,MZ,1,100,32
1709251388.282011,1316828.000,23164,3,MZ,1,100,31
1709251388.322010,1316868.000,23180,2,MZ,1,100,30
1709251388.362008,1316908.000,23180,2,MZ,1,100,30
1709251388.402007,1316948.000,23195,3,MZ,1,100,30
1709251388.442005,1316988.000,23195,3,MZ,1,100,30
1709251388.482004,1317028.000,23195,3,MZ,1,100,32
1709251388.522002,1317068.000,23212,2,MZ,1,100,30
1709251388.562001,1317108.000,23212,2,MZ,1,100,31
1709251388.602000,1317148.000,23229,3,MZ,1,100,32
1709251388.641998,1317188.000,23229,3,MZ,1,100,31
1709251388.681997,1317228.000,23229,3,MZ,1,100,30
1709251388.721996,1317268.000,23245,2,MZ,1,100,30
1709251388.761994,1317308.000,23245,2,MZ,1,100,30
1709251388.801993,1317348.000,23261,3,MZ,1,100,30
1709251388.841991,1317388.000,23261,3,MZ,1,100,30
1709251388.881990,1317428.000,23261,3,MZ,1,100,29
1709251388.921989,1317468.000,23277,3,MZ,1,100,31
1709251388.961987,1317508.000,23277,3,MZ,1,100,30
1709251389.001986,1317548.000,23277,3,MZ,1,100,30
1709251389.041985,1317588.000,23294,2,MZ,1,100,31
1709251389.081983,1317628.000,23294,2,MZ,1,100,30
1709251389.121649,1317667.667,23313,3,MZ,1,100,30
1709251389.161314,1317707.333,23313,3,MZ,1,100,30
1709251389.200979,1317747.000,23313,3,MZ,1,100,30
1709251389.241478,1317787.500,23329,2,MZ,1,100,31
1709251389.281976,1317828.000,23329,2,MZ,1,100,30
1709251389.321975,1317868.000,23344,3,MZ,1,100,31
1709251389.361974,1317908.000,23344,3,MZ,1,100,30
1709251389.401972,1317948.000,23344,3,MZ,1,100,30
1709251389.437304,1317983.333,23362,3,MZ,1,100,31
1709251389.472636,1318018.667,23362,3,MZ,1,100,31
1709251389.507968,1318054.000,23362,3,MZ,1,100,31
1709251389.547467,1318093.500,23380,2,MZ,1,100,30
1709251389.586966,1318133.000,23380,2,MZ,1,100,30
1709251389.627298,1318173.333,23397,3,MZ,1,100,30
1709251389.667629,1318213.667,23397,3,MZ,1,100,30
1709251389.707962,1318254.000,23397,3,MZ,1,100,30
1709251389.747960,1318294.000,23411,2,MZ,1,100,30
1709251389.787959,1318334.000,23411,2,MZ,1,100,30
1709251389.827957,1318374.000,23431,3,MZ,1,100,30
1709251389.867956,1318414.000,23431,3,MZ,1,100,30
1709251389.907955,1318454.000,23431,3,MZ,1,100,30
1709251389.947753,1318493.800,23453,5,MZ,1,100,30
1709251389.987552,1318533.600,23453,5,MZ,1,100,30
1709251390.027350,1318573.400,23453,5,MZ,1,100,29
1709251390.067149,1318613.200,23453,5,MZ,1,100,30
1709251390.106948,1318653.000,23453,5,MZ,1,100,30
1709251390.146946,1318693.000,23470,3,MZ,1,100,30
1709251390.186945,1318733.000,23470,3,MZ,1,100,30
1709251390.226943,1318773.000,23470,3,MZ,1,100,31
1709251390.267442,1318813.500,23487,2,MZ,1,100,30
1709251390.307941,1318854.000,23487,2,MZ,1,100,30
1709251390.347606,1318893.667,23503,3,MZ,1,100,30
1709251390.387271,1318933.333,23503,3,MZ,1,100,30
1709251390.426937,1318973.000,23503,3,MZ,1,100,30
1709251390.467435,1319013.500,23521,2,MZ,1,100,30
1709251390.507934,1319054.000,23521,2,MZ,1,100,30
1709251390.547599,1319093.667,23536,3,MZ,1,100,30
1709251390.587265,1319133.333,23536,3,MZ,1,100,30
1709251390.626930,1319173.000,23536,3,MZ,1,100,31
1709251390.666928,1319213.000,23552,2,MZ,1,100,30
1709251390.706927,1319253.000,23552,2,MZ,1,100,30
1709251390.746926,1319293.000,23568,3,MZ,1,100,30
1709251390.786924,1319333.000,23568,3,MZ,1,100,30
1709251390.826923,1319373.000,23568,3,MZ,1,100,30
